Case_ID,Prompt_ID,y_true,pred,probe
CASE_0040,SUM_007,3,3,char
CASE_0041,SUM_007,4,4,char
CASE_0042,SUM_007,5,2,char
CASE_0043,SUM_008,0,5,char
CASE_0044,SUM_008,1,1,char
CASE_0045,SUM_008,2,5,char
CASE_0046,SUM_008,3,3,char
CASE_0047,SUM_008,4,4,char
CASE_0048,SUM_008,5,1,char
CASE_0049,SUM_009,0,0,char
CASE_0050,SUM_009,1,3,char
CASE_0051,SUM_009,2,2,char
CASE_0052,SUM_009,3,3,char
CASE_0053,SUM_009,4,3,char
CASE_0054,SUM_009,5,5,char
CASE_0055,SUM_010,0,2,char
CASE_0056,SUM_010,1,1,char
CASE_0057,SUM_010,2,5,char
CASE_0058,SUM_010,3,3,char
CASE_0059,SUM_010,4,1,char
CASE_0060,SUM_010,5,2,char
CASE_0061,SUM_011,0,5,char
CASE_0062,SUM_011,1,1,char
CASE_0063,SUM_011,2,5,char
CASE_0064,SUM_011,3,2,char
CASE_0065,SUM_011,4,4,char
CASE_0066,SUM_011,5,5,char
CASE_0067,SUM_012,0,5,char
CASE_0068,SUM_012,1,5,char
CASE_0069,SUM_012,2,5,char
CASE_0070,SUM_012,3,3,char
CASE_0071,SUM_012,4,4,char
CASE_0072,SUM_012,5,5,char
CASE_0073,SUM_013,0,2,char
CASE_0074,SUM_013,1,1,char
CASE_0075,SUM_013,2,2,char
CASE_0076,SUM_013,3,3,char
CASE_0077,SUM_013,4,4,char
CASE_0078,SUM_013,5,2,char
CASE_0079,SUM_014,0,0,char
CASE_0080,SUM_014,1,4,char
CASE_0081,SUM_014,2,4,char
CASE_0082,SUM_014,3,3,char
CASE_0083,SUM_014,4,4,char
CASE_0084,SUM_014,5,4,char
CASE_0085,SUM_015,0,4,char
CASE_0086,SUM_015,1,4,char
CASE_0087,SUM_015,2,0,char
CASE_0088,SUM_015,3,3,char
CASE_0089,SUM_015,4,4,char
CASE_0090,SUM_015,5,5,char
CASE_0091,SUM_016,0,2,char
CASE_0092,SUM_016,1,2,char
CASE_0093,SUM_016,2,2,char
CASE_0094,SUM_016,3,3,char
CASE_0095,SUM_016,4,2,char
CASE_0096,SUM_016,5,0,char
CASE_0097,SUM_017,0,4,char
CASE_0098,SUM_017,1,1,char
CASE_0099,SUM_017,2,4,char
CASE_0100,SUM_017,3,3,char
CASE_0101,SUM_017,4,4,char
CASE_0102,SUM_017,5,4,char
CASE_0103,SUM_018,0,1,char
CASE_0104,SUM_018,1,1,char
CASE_0105,SUM_018,2,1,char
CASE_0106,SUM_018,3,3,char
CASE_0107,SUM_018,4,4,char
CASE_0108,SUM_018,5,5,char
CASE_0109,SUM_019,0,2,char
CASE_0110,SUM_019,1,1,char
CASE_0111,SUM_019,2,2,char
CASE_0112,SUM_019,3,3,char
CASE_0113,SUM_019,4,4,char
CASE_0114,SUM_019,5,2,char
CASE_0115,SUM_020,0,2,char
CASE_0116,SUM_020,1,4,char
CASE_0117,SUM_020,2,4,char
CASE_0118,SUM_020,3,3,char
CASE_0119,SUM_020,4,4,char
CASE_0120,SUM_020,5,5,char
CASE_0121,QA_001,0,2,char
CASE_0122,QA_001,1,1,char
CASE_0123,QA_001,2,2,char
CASE_0124,QA_001,3,3,char
CASE_0125,QA_001,4,4,char
CASE_0126,QA_001,5,2,char
CASE_0127,QA_002,0,5,char
CASE_0128,QA_002,1,1,char
CASE_0129,QA_002,2,4,char
CASE_0130,QA_002,3,3,char
CASE_0131,QA_002,4,4,char
CASE_0132,QA_002,5,5,char
CASE_0133,QA_003,0,4,char
CASE_0134,QA_003,1,1,char
CASE_0135,QA_003,2,5,char
CASE_0136,QA_003,3,3,char
CASE_0137,QA_003,4,4,char
CASE_0138,QA_003,5,5,char
CASE_0139,QA_004,0,4,char
CASE_0140,QA_004,1,2,char
CASE_0141,QA_004,2,1,char
CASE_0142,QA_004,3,1,char
CASE_0143,QA_004,4,4,char
CASE_0144,QA_004,5,5,char
CASE_0145,QA_005,0,5,char
CASE_0146,QA_005,1,5,char
CASE_0147,QA_005,2,5,char
CASE_0148,QA_005,3,3,char
CASE_0149,QA_005,4,2,char
CASE_0150,QA_005,5,5,char
CASE_0151,QA_006,0,3,char
CASE_0152,QA_006,1,1,char
CASE_0153,QA_006,2,1,char
CASE_0154,QA_006,3,3,char
CASE_0155,QA_006,4,4,char
CASE_0156,QA_006,5,5,char
CASE_0157,QA_007,0,0,char
CASE_0158,QA_007,1,1,char
CASE_0159,QA_007,2,0,char
CASE_0160,QA_007,3,3,char
CASE_0161,QA_007,4,4,char
CASE_0162,QA_007,5,5,char
CASE_0163,QA_008,0,1,char
CASE_0164,QA_008,1,1,char
CASE_0165,QA_008,2,5,char
CASE_0166,QA_008,3,3,char
CASE_0167,QA_008,4,1,char
CASE_0168,QA_008,5,1,char
CASE_0169,QA_009,0,1,char
CASE_0170,QA_009,1,1,char
CASE_0171,QA_009,2,0,char
CASE_0172,QA_009,3,3,char
CASE_0173,QA_009,4,0,char
CASE_0174,QA_009,5,5,char
CASE_0175,QA_010,0,4,char
CASE_0176,QA_010,1,1,char
CASE_0177,QA_010,2,4,char
CASE_0178,QA_010,3,3,char
CASE_0179,QA_010,4,0,char
CASE_0180,QA_010,5,5,char
CASE_0181,QA_011,0,1,char
CASE_0182,QA_011,1,1,char
CASE_0183,QA_011,2,1,char
CASE_0184,QA_011,3,3,char
CASE_0185,QA_011,4,1,char
CASE_0186,QA_011,5,5,char
CASE_0187,QA_012,0,3,char
CASE_0188,QA_012,1,1,char
CASE_0189,QA_012,2,5,char
CASE_0190,QA_012,3,3,char
CASE_0191,QA_012,4,4,char
CASE_0192,QA_012,5,5,char
CASE_0193,QA_013,0,4,char
CASE_0194,QA_013,1,1,char
CASE_0195,QA_013,2,1,char
CASE_0196,QA_013,3,3,char
CASE_0197,QA_013,4,4,char
CASE_0198,QA_013,5,5,char
CASE_0199,QA_014,0,4,char
CASE_0200,QA_014,1,3,char
CASE_0201,QA_014,2,4,char
CASE_0202,QA_014,3,3,char
CASE_0203,QA_014,4,4,char
CASE_0204,QA_014,5,4,char
CASE_0205,QA_015,0,2,char
CASE_0206,QA_015,1,1,char
CASE_0207,QA_015,2,0,char
CASE_0208,QA_015,3,3,char
CASE_0209,QA_015,4,0,char
CASE_0210,QA_015,5,4,char
CASE_0211,QA_016,0,4,char
CASE_0212,QA_016,1,1,char
CASE_0213,QA_016,2,4,char
CASE_0214,QA_016,3,3,char
CASE_0215,QA_016,4,4,char
CASE_0216,QA_016,5,5,char
CASE_0217,QA_017,0,1,char
CASE_0218,QA_017,1,1,char
CASE_0219,QA_017,2,1,char
CASE_0220,QA_017,3,3,char
CASE_0221,QA_017,4,4,char
CASE_0222,QA_017,5,5,char
CASE_0223,QA_018,0,5,char
CASE_0224,QA_018,1,1,char
CASE_0225,QA_018,2,1,char
CASE_0226,QA_018,3,3,char
CASE_0227,QA_018,4,5,char
CASE_0228,QA_018,5,2,char
CASE_0229,QA_019,0,3,char
CASE_0230,QA_019,1,1,char
CASE_0231,QA_019,2,1,char
CASE_0232,QA_019,3,3,char
CASE_0233,QA_019,4,4,char
CASE_0234,QA_019,5,2,char
CASE_0235,QA_020,0,1,char
CASE_0236,QA_020,1,1,char
CASE_0237,QA_020,2,0,char
CASE_0238,QA_020,3,3,char
CASE_0239,QA_020,4,4,char
CASE_0240,QA_020,5,5,char
CASE_0241,EXP_001,0,0,char
CASE_0242,EXP_001,1,4,char
CASE_0243,EXP_001,2,5,char
CASE_0244,EXP_001,3,4,char
CASE_0245,EXP_001,4,4,char
CASE_0246,EXP_001,5,5,char
CASE_0247,EXP_002,0,0,char
CASE_0248,EXP_002,1,1,char
CASE_0249,EXP_002,2,2,char
CASE_0250,EXP_002,3,3,char
CASE_0251,EXP_002,4,4,char
CASE_0252,EXP_002,5,2,char
CASE_0253,EXP_003,0,5,char
CASE_0254,EXP_003,1,1,char
CASE_0255,EXP_003,2,5,char
CASE_0256,EXP_003,3,5,char
CASE_0257,EXP_003,4,4,char
CASE_0258,EXP_003,5,5,char
CASE_0259,EXP_004,0,0,char
CASE_0260,EXP_004,1,3,char
CASE_0261,EXP_004,2,2,char
CASE_0262,EXP_004,3,3,char
CASE_0263,EXP_004,4,3,char
CASE_0264,EXP_004,5,5,char
CASE_0265,EXP_005,0,0,char
CASE_0266,EXP_005,1,1,char
CASE_0267,EXP_005,2,2,char
CASE_0268,EXP_005,3,3,char
CASE_0269,EXP_005,4,2,char
CASE_0270,EXP_005,5,2,char
CASE_0271,EXP_006,0,2,char
CASE_0272,EXP_006,1,1,char
CASE_0273,EXP_006,2,2,char
CASE_0274,EXP_006,3,3,char
CASE_0275,EXP_006,4,4,char
CASE_0276,EXP_006,5,2,char
CASE_0277,EXP_007,0,0,char
CASE_0278,EXP_007,1,1,char
CASE_0279,EXP_007,2,2,char
