Case_ID,Prompt_ID,Task_Type,Fold,Generator_Stratum,y_true,standard_m1_pred,dual_blocked_pred,target
CASE_0456,IF_016,instruction_following,1,5,1,0,1,T1
CASE_0457,IF_017,instruction_following,4,0,0,1,1,T1
CASE_0458,IF_017,instruction_following,4,1,1,1,1,T1
CASE_0459,IF_017,instruction_following,4,2,0,1,1,T1
CASE_0460,IF_017,instruction_following,4,3,1,1,1,T1
CASE_0461,IF_017,instruction_following,4,4,1,1,1,T1
CASE_0462,IF_017,instruction_following,4,5,0,1,1,T1
CASE_0463,IF_018,instruction_following,3,0,1,1,1,T1
CASE_0464,IF_018,instruction_following,3,1,1,1,1,T1
CASE_0465,IF_018,instruction_following,3,2,0,1,1,T1
CASE_0466,IF_018,instruction_following,3,3,1,1,1,T1
CASE_0467,IF_018,instruction_following,3,4,1,1,0,T1
CASE_0468,IF_018,instruction_following,3,5,0,1,0,T1
CASE_0469,IF_019,instruction_following,2,0,1,1,1,T1
CASE_0470,IF_019,instruction_following,2,1,1,1,1,T1
CASE_0471,IF_019,instruction_following,2,2,1,1,1,T1
CASE_0472,IF_019,instruction_following,2,3,1,1,1,T1
CASE_0473,IF_019,instruction_following,2,4,1,1,1,T1
CASE_0474,IF_019,instruction_following,2,5,1,1,1,T1
CASE_0475,IF_020,instruction_following,3,0,0,1,1,T1
CASE_0476,IF_020,instruction_following,3,1,1,1,1,T1
CASE_0477,IF_020,instruction_following,3,2,0,1,1,T1
CASE_0478,IF_020,instruction_following,3,3,1,1,1,T1
CASE_0479,IF_020,instruction_following,3,4,0,1,1,T1
CASE_0480,IF_020,instruction_following,3,5,0,1,1,T1
CASE_0481,SG_001,source_grounded_generation,2,0,1,1,1,T1
CASE_0482,SG_001,source_grounded_generation,2,1,1,1,1,T1
CASE_0483,SG_001,source_grounded_generation,2,2,1,1,1,T1
CASE_0484,SG_001,source_grounded_generation,2,3,1,1,1,T1
CASE_0485,SG_001,source_grounded_generation,2,4,1,1,1,T1
CASE_0486,SG_001,source_grounded_generation,2,5,0,1,1,T1
CASE_0487,SG_002,source_grounded_generation,4,0,1,1,1,T1
CASE_0488,SG_002,source_grounded_generation,4,1,1,1,1,T1
CASE_0489,SG_002,source_grounded_generation,4,2,0,1,1,T1
CASE_0490,SG_002,source_grounded_generation,4,3,1,1,1,T1
CASE_0491,SG_002,source_grounded_generation,4,4,1,1,1,T1
CASE_0492,SG_002,source_grounded_generation,4,5,0,1,1,T1
CASE_0493,SG_003,source_grounded_generation,1,0,0,0,0,T1
CASE_0494,SG_003,source_grounded_generation,1,1,1,0,0,T1
CASE_0495,SG_003,source_grounded_generation,1,2,1,1,1,T1
CASE_0496,SG_003,source_grounded_generation,1,3,1,1,1,T1
CASE_0497,SG_003,source_grounded_generation,1,4,1,1,0,T1
CASE_0498,SG_003,source_grounded_generation,1,5,1,0,0,T1
CASE_0499,SG_004,source_grounded_generation,1,0,0,1,1,T1
CASE_0500,SG_004,source_grounded_generation,1,1,1,1,1,T1
CASE_0501,SG_004,source_grounded_generation,1,2,0,1,1,T1
CASE_0502,SG_004,source_grounded_generation,1,3,1,1,1,T1
CASE_0503,SG_004,source_grounded_generation,1,4,1,1,1,T1
CASE_0504,SG_004,source_grounded_generation,1,5,0,1,1,T1
CASE_0505,SG_005,source_grounded_generation,0,0,1,1,1,T1
CASE_0506,SG_005,source_grounded_generation,0,1,0,1,1,T1
CASE_0507,SG_005,source_grounded_generation,0,2,1,1,1,T1
CASE_0508,SG_005,source_grounded_generation,0,3,1,1,1,T1
CASE_0509,SG_005,source_grounded_generation,0,4,1,1,1,T1
CASE_0510,SG_005,source_grounded_generation,0,5,1,1,1,T1
CASE_0511,SG_006,source_grounded_generation,0,0,0,0,0,T1
CASE_0512,SG_006,source_grounded_generation,0,1,1,0,0,T1
CASE_0513,SG_006,source_grounded_generation,0,2,1,0,0,T1
CASE_0514,SG_006,source_grounded_generation,0,3,1,1,0,T1
CASE_0515,SG_006,source_grounded_generation,0,4,1,0,0,T1
CASE_0516,SG_006,source_grounded_generation,0,5,1,0,0,T1
CASE_0517,SG_007,source_grounded_generation,2,0,0,1,1,T1
CASE_0518,SG_007,source_grounded_generation,2,1,1,1,0,T1
CASE_0519,SG_007,source_grounded_generation,2,2,0,1,1,T1
CASE_0520,SG_007,source_grounded_generation,2,3,1,1,1,T1
CASE_0521,SG_007,source_grounded_generation,2,4,1,1,1,T1
CASE_0522,SG_007,source_grounded_generation,2,5,0,1,1,T1
CASE_0523,SG_008,source_grounded_generation,4,0,0,1,1,T1
CASE_0524,SG_008,source_grounded_generation,4,1,0,1,0,T1
CASE_0525,SG_008,source_grounded_generation,4,2,1,1,0,T1
CASE_0526,SG_008,source_grounded_generation,4,3,1,1,1,T1
CASE_0527,SG_008,source_grounded_generation,4,4,1,1,0,T1
CASE_0528,SG_008,source_grounded_generation,4,5,0,0,0,T1
CASE_0529,SG_009,source_grounded_generation,1,0,0,0,1,T1
CASE_0530,SG_009,source_grounded_generation,1,1,0,1,0,T1
CASE_0531,SG_009,source_grounded_generation,1,2,0,1,0,T1
CASE_0532,SG_009,source_grounded_generation,1,3,1,1,1,T1
CASE_0533,SG_009,source_grounded_generation,1,4,1,0,1,T1
CASE_0534,SG_009,source_grounded_generation,1,5,0,0,1,T1
CASE_0535,SG_010,source_grounded_generation,4,0,0,1,1,T1
CASE_0536,SG_010,source_grounded_generation,4,1,1,0,0,T1
CASE_0537,SG_010,source_grounded_generation,4,2,0,1,0,T1
CASE_0538,SG_010,source_grounded_generation,4,3,1,1,1,T1
CASE_0539,SG_010,source_grounded_generation,4,4,0,1,0,T1
CASE_0540,SG_010,source_grounded_generation,4,5,0,1,1,T1
CASE_0541,SG_011,source_grounded_generation,2,0,0,0,0,T1
CASE_0542,SG_011,source_grounded_generation,2,1,0,0,0,T1
CASE_0543,SG_011,source_grounded_generation,2,2,0,0,0,T1
CASE_0544,SG_011,source_grounded_generation,2,3,1,1,0,T1
CASE_0545,SG_011,source_grounded_generation,2,4,1,0,0,T1
CASE_0546,SG_011,source_grounded_generation,2,5,1,0,0,T1
CASE_0547,SG_012,source_grounded_generation,0,0,0,1,1,T1
CASE_0548,SG_012,source_grounded_generation,0,1,1,1,0,T1
CASE_0549,SG_012,source_grounded_generation,0,2,0,1,1,T1
CASE_0550,SG_012,source_grounded_generation,0,3,1,1,1,T1
CASE_0551,SG_012,source_grounded_generation,0,4,1,1,1,T1
CASE_0552,SG_012,source_grounded_generation,0,5,0,1,0,T1
CASE_0553,SG_013,source_grounded_generation,4,0,0,1,1,T1
CASE_0554,SG_013,source_grounded_generation,4,1,1,1,1,T1
CASE_0555,SG_013,source_grounded_generation,4,2,1,0,0,T1
CASE_0556,SG_013,source_grounded_generation,4,3,1,1,1,T1
CASE_0557,SG_013,source_grounded_generation,4,4,1,1,0,T1
CASE_0558,SG_013,source_grounded_generation,4,5,1,0,0,T1
CASE_0559,SG_014,source_grounded_generation,3,0,0,0,0,T1
CASE_0560,SG_014,source_grounded_generation,3,1,0,0,0,T1
CASE_0561,SG_014,source_grounded_generation,3,2,1,0,0,T1
CASE_0562,SG_014,source_grounded_generation,3,3,1,1,0,T1
CASE_0563,SG_014,source_grounded_generation,3,4,1,0,0,T1
CASE_0564,SG_014,source_grounded_generation,3,5,0,0,0,T1
CASE_0565,SG_015,source_grounded_generation,3,0,1,0,0,T1
CASE_0566,SG_015,source_grounded_generation,3,1,0,0,0,T1
CASE_0567,SG_015,source_grounded_generation,3,2,1,1,1,T1
CASE_0568,SG_015,source_grounded_generation,3,3,1,1,0,T1
CASE_0569,SG_015,source_grounded_generation,3,4,1,1,0,T1
CASE_0570,SG_015,source_grounded_generation,3,5,1,0,1,T1
CASE_0571,SG_016,source_grounded_generation,3,0,0,1,1,T1
CASE_0572,SG_016,source_grounded_generation,3,1,1,1,1,T1
CASE_0573,SG_016,source_grounded_generation,3,2,0,1,1,T1
CASE_0574,SG_016,source_grounded_generation,3,3,1,1,1,T1
CASE_0575,SG_016,source_grounded_generation,3,4,1,1,1,T1
CASE_0576,SG_016,source_grounded_generation,3,5,0,1,1,T1
CASE_0577,SG_017,source_grounded_generation,0,0,0,0,0,T1
CASE_0578,SG_017,source_grounded_generation,0,1,1,0,0,T1
CASE_0579,SG_017,source_grounded_generation,0,2,0,0,0,T1
CASE_0580,SG_017,source_grounded_generation,0,3,1,1,0,T1
CASE_0581,SG_017,source_grounded_generation,0,4,1,0,0,T1
CASE_0582,SG_017,source_grounded_generation,0,5,1,0,1,T1
CASE_0583,SG_018,source_grounded_generation,2,0,1,0,0,T1
CASE_0584,SG_018,source_grounded_generation,2,1,1,0,0,T1
CASE_0585,SG_018,source_grounded_generation,2,2,1,0,0,T1
CASE_0586,SG_018,source_grounded_generation,2,3,1,1,0,T1
CASE_0587,SG_018,source_grounded_generation,2,4,1,1,0,T1
CASE_0588,SG_018,source_grounded_generation,2,5,1,0,0,T1
CASE_0589,SG_019,source_grounded_generation,1,0,0,1,1,T1
CASE_0590,SG_019,source_grounded_generation,1,1,0,1,0,T1
CASE_0591,SG_019,source_grounded_generation,1,2,0,1,1,T1
CASE_0592,SG_019,source_grounded_generation,1,3,1,0,0,T1
CASE_0593,SG_019,source_grounded_generation,1,4,1,0,0,T1
CASE_0594,SG_019,source_grounded_generation,1,5,1,1,1,T1
CASE_0595,SG_020,source_grounded_generation,3,0,1,0,0,T1
CASE_0596,SG_020,source_grounded_generation,3,1,0,1,0,T1
CASE_0597,SG_020,source_grounded_generation,3,2,1,0,0,T1
CASE_0598,SG_020,source_grounded_generation,3,3,1,1,1,T1
CASE_0599,SG_020,source_grounded_generation,3,4,1,1,1,T1
CASE_0600,SG_020,source_grounded_generation,3,5,1,1,1,T1
CASE_0601,CT_001,multi_entity_context_tracking,2,0,1,1,1,T1
CASE_0602,CT_001,multi_entity_context_tracking,2,1,1,1,1,T1
CASE_0603,CT_001,multi_entity_context_tracking,2,2,1,1,1,T1
CASE_0604,CT_001,multi_entity_context_tracking,2,3,1,1,1,T1
CASE_0605,CT_001,multi_entity_context_tracking,2,4,1,1,1,T1
CASE_0606,CT_001,multi_entity_context_tracking,2,5,0,0,1,T1
CASE_0607,CT_002,multi_entity_context_tracking,4,0,0,1,1,T1
CASE_0608,CT_002,multi_entity_context_tracking,4,1,1,1,1,T1
CASE_0609,CT_002,multi_entity_context_tracking,4,2,1,1,0,T1
CASE_0610,CT_002,multi_entity_context_tracking,4,3,1,1,1,T1
CASE_0611,CT_002,multi_entity_context_tracking,4,4,1,1,1,T1
CASE_0612,CT_002,multi_entity_context_tracking,4,5,0,1,1,T1
CASE_0613,CT_003,multi_entity_context_tracking,1,0,1,1,1,T1
CASE_0614,CT_003,multi_entity_context_tracking,1,1,1,1,0,T1
CASE_0615,CT_003,multi_entity_context_tracking,1,2,0,1,1,T1
CASE_0616,CT_003,multi_entity_context_tracking,1,3,1,1,0,T1
CASE_0617,CT_003,multi_entity_context_tracking,1,4,1,0,0,T1
CASE_0618,CT_003,multi_entity_context_tracking,1,5,0,0,1,T1
CASE_0619,CT_004,multi_entity_context_tracking,2,0,1,1,1,T1
CASE_0620,CT_004,multi_entity_context_tracking,2,1,1,1,1,T1
CASE_0621,CT_004,multi_entity_context_tracking,2,2,1,1,1,T1
CASE_0622,CT_004,multi_entity_context_tracking,2,3,1,1,1,T1
CASE_0623,CT_004,multi_entity_context_tracking,2,4,1,1,1,T1
CASE_0624,CT_004,multi_entity_context_tracking,2,5,0,1,1,T1
CASE_0625,CT_005,multi_entity_context_tracking,3,0,0,1,1,T1
CASE_0626,CT_005,multi_entity_context_tracking,3,1,1,1,1,T1
CASE_0627,CT_005,multi_entity_context_tracking,3,2,1,1,1,T1
CASE_0628,CT_005,multi_entity_context_tracking,3,3,1,1,1,T1
CASE_0629,CT_005,multi_entity_context_tracking,3,4,1,1,1,T1
CASE_0630,CT_005,multi_entity_context_tracking,3,5,0,1,1,T1
CASE_0631,CT_006,multi_entity_context_tracking,3,0,0,1,1,T1
CASE_0632,CT_006,multi_entity_context_tracking,3,1,1,1,0,T1
CASE_0633,CT_006,multi_entity_context_tracking,3,2,0,1,0,T1
CASE_0634,CT_006,multi_entity_context_tracking,3,3,1,1,1,T1
CASE_0635,CT_006,multi_entity_context_tracking,3,4,1,1,1,T1
CASE_0636,CT_006,multi_entity_context_tracking,3,5,0,0,1,T1
CASE_0637,CT_007,multi_entity_context_tracking,4,0,0,0,1,T1
CASE_0638,CT_007,multi_entity_context_tracking,4,1,1,1,1,T1
CASE_0639,CT_007,multi_entity_context_tracking,4,2,0,0,1,T1
CASE_0640,CT_007,multi_entity_context_tracking,4,3,1,1,1,T1
CASE_0641,CT_007,multi_entity_context_tracking,4,4,1,1,1,T1
CASE_0642,CT_007,multi_entity_context_tracking,4,5,0,0,0,T1
CASE_0643,CT_008,multi_entity_context_tracking,0,0,0,1,1,T1
CASE_0644,CT_008,multi_entity_context_tracking,0,1,1,1,1,T1
CASE_0645,CT_008,multi_entity_context_tracking,0,2,1,1,1,T1
CASE_0646,CT_008,multi_entity_context_tracking,0,3,1,1,1,T1
CASE_0647,CT_008,multi_entity_context_tracking,0,4,1,0,0,T1
CASE_0648,CT_008,multi_entity_context_tracking,0,5,0,0,1,T1
CASE_0649,CT_009,multi_entity_context_tracking,1,0,1,0,1,T1
CASE_0650,CT_009,multi_entity_context_tracking,1,1,0,0,0,T1
CASE_0651,CT_009,multi_entity_context_tracking,1,2,0,0,0,T1
CASE_0652,CT_009,multi_entity_context_tracking,1,3,1,1,0,T1
CASE_0653,CT_009,multi_entity_context_tracking,1,4,1,0,0,T1
CASE_0654,CT_009,multi_entity_context_tracking,1,5,0,0,1,T1
CASE_0655,CT_010,multi_entity_context_tracking,2,0,0,0,0,T1
CASE_0656,CT_010,multi_entity_context_tracking,2,1,1,0,0,T1
CASE_0657,CT_010,multi_entity_context_tracking,2,2,0,0,0,T1
CASE_0658,CT_010,multi_entity_context_tracking,2,3,1,1,0,T1
CASE_0659,CT_010,multi_entity_context_tracking,2,4,1,1,0,T1
CASE_0660,CT_010,multi_entity_context_tracking,2,5,1,0,0,T1
CASE_0661,CT_011,multi_entity_context_tracking,4,0,1,0,1,T1
CASE_0662,CT_011,multi_entity_context_tracking,4,1,1,0,0,T1
CASE_0663,CT_011,multi_entity_context_tracking,4,2,1,0,0,T1
CASE_0664,CT_011,multi_entity_context_tracking,4,3,1,1,1,T1
CASE_0665,CT_011,multi_entity_context_tracking,4,4,1,0,0,T1
CASE_0666,CT_011,multi_entity_context_tracking,4,5,1,1,1,T1
CASE_0667,CT_012,multi_entity_context_tracking,3,0,0,1,1,T1
CASE_0668,CT_012,multi_entity_context_tracking,3,1,1,1,1,T1
CASE_0669,CT_012,multi_entity_context_tracking,3,2,1,1,1,T1
CASE_0670,CT_012,multi_entity_context_tracking,3,3,1,1,1,T1
CASE_0671,CT_012,multi_entity_context_tracking,3,4,1,1,1,T1
CASE_0672,CT_012,multi_entity_context_tracking,3,5,0,1,1,T1
CASE_0673,CT_013,multi_entity_context_tracking,2,0,1,1,1,T1
CASE_0674,CT_013,multi_entity_context_tracking,2,1,1,1,1,T1
CASE_0675,CT_013,multi_entity_context_tracking,2,2,1,1,1,T1
CASE_0676,CT_013,multi_entity_context_tracking,2,3,1,1,1,T1
CASE_0677,CT_013,multi_entity_context_tracking,2,4,1,1,0,T1
CASE_0678,CT_013,multi_entity_context_tracking,2,5,1,0,1,T1
CASE_0679,CT_014,multi_entity_context_tracking,0,0,0,1,1,T1
CASE_0680,CT_014,multi_entity_context_tracking,0,1,1,1,0,T1
CASE_0681,CT_014,multi_entity_context_tracking,0,2,1,1,1,T1
CASE_0682,CT_014,multi_entity_context_tracking,0,3,1,1,1,T1
CASE_0683,CT_014,multi_entity_context_tracking,0,4,1,1,0,T1
CASE_0684,CT_014,multi_entity_context_tracking,0,5,0,1,1,T1
CASE_0685,CT_015,multi_entity_context_tracking,0,0,0,0,0,T1
CASE_0686,CT_015,multi_entity_context_tracking,0,1,1,0,0,T1
CASE_0687,CT_015,multi_entity_context_tracking,0,2,1,0,0,T1
CASE_0688,CT_015,multi_entity_context_tracking,0,3,1,1,0,T1
CASE_0689,CT_015,multi_entity_context_tracking,0,4,1,0,0,T1
CASE_0690,CT_015,multi_entity_context_tracking,0,5,0,0,0,T1
CASE_0691,CT_016,multi_entity_context_tracking,1,0,0,1,1,T1
CASE_0692,CT_016,multi_entity_context_tracking,1,1,1,0,1,T1
CASE_0693,CT_016,multi_entity_context_tracking,1,2,1,1,1,T1
CASE_0694,CT_016,multi_entity_context_tracking,1,3,1,1,0,T1
CASE_0695,CT_016,multi_entity_context_tracking,1,4,1,1,1,T1
CASE_0696,CT_016,multi_entity_context_tracking,1,5,0,1,1,T1
CASE_0697,CT_017,multi_entity_context_tracking,4,0,0,1,1,T1
CASE_0698,CT_017,multi_entity_context_tracking,4,1,1,1,0,T1
CASE_0699,CT_017,multi_entity_context_tracking,4,2,0,1,1,T1
CASE_0700,CT_017,multi_entity_context_tracking,4,3,1,1,1,T1
CASE_0701,CT_017,multi_entity_context_tracking,4,4,1,1,0,T1
CASE_0702,CT_017,multi_entity_context_tracking,4,5,0,0,0,T1
CASE_0703,CT_018,multi_entity_context_tracking,3,0,0,0,0,T1
CASE_0704,CT_018,multi_entity_context_tracking,3,1,0,0,0,T1
CASE_0705,CT_018,multi_entity_context_tracking,3,2,0,0,0,T1
CASE_0706,CT_018,multi_entity_context_tracking,3,3,1,0,0,T1
CASE_0707,CT_018,multi_entity_context_tracking,3,4,1,1,0,T1
CASE_0708,CT_018,multi_entity_context_tracking,3,5,0,0,1,T1
CASE_0709,CT_019,multi_entity_context_tracking,1,0,0,0,1,T1
CASE_0710,CT_019,multi_entity_context_tracking,1,1,1,0,0,T1
CASE_0711,CT_019,multi_entity_context_tracking,1,2,0,0,0,T1
CASE_0712,CT_019,multi_entity_context_tracking,1,3,1,1,1,T1
CASE_0713,CT_019,multi_entity_context_tracking,1,4,1,0,0,T1
CASE_0714,CT_019,multi_entity_context_tracking,1,5,0,0,1,T1
CASE_0715,CT_020,multi_entity_context_tracking,0,0,1,1,1,T1
CASE_0716,CT_020,multi_entity_context_tracking,0,1,1,1,1,T1
CASE_0717,CT_020,multi_entity_context_tracking,0,2,1,1,1,T1
CASE_0718,CT_020,multi_entity_context_tracking,0,3,1,1,1,T1
CASE_0719,CT_020,multi_entity_context_tracking,0,4,1,0,0,T1
CASE_0720,CT_020,multi_entity_context_tracking,0,5,1,1,1,T1
CASE_0002,SUM_001,summarisation,3,1,0,1,1,T2
CASE_0004,SUM_001,summarisation,3,3,1,1,1,T2
CASE_0005,SUM_001,summarisation,3,4,1,1,0,T2
CASE_0006,SUM_001,summarisation,3,5,0,1,1,T2
CASE_0007,SUM_002,summarisation,4,0,0,1,1,T2
CASE_0008,SUM_002,summarisation,4,1,0,1,0,T2
CASE_0010,SUM_002,summarisation,4,3,1,0,1,T2
CASE_0011,SUM_002,summarisation,4,4,1,1,1,T2
CASE_0014,SUM_003,summarisation,1,1,0,0,1,T2
CASE_0016,SUM_003,summarisation,1,3,1,0,1,T2
CASE_0017,SUM_003,summarisation,1,4,1,1,1,T2
CASE_0020,SUM_004,summarisation,2,1,0,0,1,T2
CASE_0022,SUM_004,summarisation,2,3,0,0,0,T2
CASE_0023,SUM_004,summarisation,2,4,1,1,0,T2
CASE_0026,SUM_005,summarisation,4,1,0,1,1,T2
CASE_0028,SUM_005,summarisation,4,3,0,1,1,T2
CASE_0029,SUM_005,summarisation,4,4,1,1,1,T2
CASE_0030,SUM_005,summarisation,4,5,0,1,1,T2
CASE_0031,SUM_006,summarisation,3,0,0,1,1,T2
CASE_0032,SUM_006,summarisation,3,1,0,1,1,T2
CASE_0034,SUM_006,summarisation,3,3,0,1,1,T2
CASE_0035,SUM_006,summarisation,3,4,1,1,1,T2
CASE_0037,SUM_007,summarisation,1,0,1,1,1,T2
CASE_0038,SUM_007,summarisation,1,1,1,1,1,T2
CASE_0039,SUM_007,summarisation,1,2,1,1,1,T2
CASE_0040,SUM_007,summarisation,1,3,0,0,1,T2
CASE_0041,SUM_007,summarisation,1,4,1,1,0,T2
CASE_0043,SUM_008,summarisation,2,0,0,1,1,T2
CASE_0044,SUM_008,summarisation,2,1,0,1,1,T2
CASE_0046,SUM_008,summarisation,2,3,0,1,1,T2
CASE_0047,SUM_008,summarisation,2,4,1,1,1,T2
CASE_0048,SUM_008,summarisation,2,5,0,1,1,T2
CASE_0050,SUM_009,summarisation,0,1,0,0,0,T2
CASE_0051,SUM_009,summarisation,0,2,1,0,0,T2
CASE_0052,SUM_009,summarisation,0,3,0,0,0,T2
CASE_0053,SUM_009,summarisation,0,4,1,0,0,T2
CASE_0055,SUM_010,summarisation,2,0,1,1,1,T2
CASE_0056,SUM_010,summarisation,2,1,0,0,1,T2
CASE_0058,SUM_010,summarisation,2,3,0,0,0,T2
CASE_0059,SUM_010,summarisation,2,4,1,1,0,T2
CASE_0060,SUM_010,summarisation,2,5,1,1,1,T2
CASE_0062,SUM_011,summarisation,0,1,0,1,1,T2
CASE_0064,SUM_011,summarisation,0,3,1,1,1,T2
CASE_0065,SUM_011,summarisation,0,4,1,1,1,T2
CASE_0067,SUM_012,summarisation,0,0,0,1,1,T2
CASE_0068,SUM_012,summarisation,0,1,0,0,0,T2
CASE_0070,SUM_012,summarisation,0,3,0,0,0,T2
CASE_0071,SUM_012,summarisation,0,4,1,1,0,T2
CASE_0073,SUM_013,summarisation,1,0,0,1,1,T2
CASE_0074,SUM_013,summarisation,1,1,0,1,1,T2
CASE_0075,SUM_013,summarisation,1,2,0,1,1,T2
CASE_0076,SUM_013,summarisation,1,3,1,1,1,T2
CASE_0077,SUM_013,summarisation,1,4,1,1,1,T2
CASE_0078,SUM_013,summarisation,1,5,0,1,1,T2
CASE_0079,SUM_014,summarisation,1,0,0,0,0,T2
CASE_0081,SUM_014,summarisation,1,2,0,0,1,T2
CASE_0082,SUM_014,summarisation,1,3,1,0,1,T2
CASE_0083,SUM_014,summarisation,1,4,1,0,0,T2
CASE_0084,SUM_014,summarisation,1,5,0,1,1,T2
CASE_0086,SUM_015,summarisation,0,1,0,1,1,T2
CASE_0088,SUM_015,summarisation,0,3,1,1,1,T2
CASE_0089,SUM_015,summarisation,0,4,1,1,1,T2
CASE_0091,SUM_016,summarisation,3,0,0,1,1,T2
CASE_0092,SUM_016,summarisation,3,1,0,1,1,T2
CASE_0094,SUM_016,summarisation,3,3,0,0,1,T2
CASE_0095,SUM_016,summarisation,3,4,1,1,1,T2
CASE_0097,SUM_017,summarisation,3,0,1,0,0,T2
CASE_0098,SUM_017,summarisation,3,1,0,0,1,T2
CASE_0099,SUM_017,summarisation,3,2,0,0,0,T2
CASE_0100,SUM_017,summarisation,3,3,1,0,0,T2
CASE_0101,SUM_017,summarisation,3,4,1,1,0,T2
CASE_0103,SUM_018,summarisation,2,0,0,1,1,T2
CASE_0104,SUM_018,summarisation,2,1,0,1,1,T2
CASE_0105,SUM_018,summarisation,2,2,0,1,1,T2
CASE_0106,SUM_018,summarisation,2,3,0,1,1,T2
CASE_0107,SUM_018,summarisation,2,4,1,1,1,T2
CASE_0110,SUM_019,summarisation,4,1,0,1,1,T2
CASE_0112,SUM_019,summarisation,4,3,1,1,0,T2
CASE_0113,SUM_019,summarisation,4,4,1,1,1,T2
CASE_0114,SUM_019,summarisation,4,5,0,1,1,T2
CASE_0115,SUM_020,summarisation,4,0,1,1,1,T2
CASE_0116,SUM_020,summarisation,4,1,0,1,1,T2
CASE_0118,SUM_020,summarisation,4,3,0,1,1,T2
CASE_0119,SUM_020,summarisation,4,4,1,1,1,T2
CASE_0120,SUM_020,summarisation,4,5,1,1,1,T2
CASE_0122,QA_001,question_answering,3,1,0,1,1,T2
CASE_0123,QA_001,question_answering,3,2,0,1,1,T2
CASE_0124,QA_001,question_answering,3,3,0,1,1,T2
CASE_0125,QA_001,question_answering,3,4,1,1,1,T2
CASE_0130,QA_002,question_answering,4,3,0,0,1,T2
CASE_0131,QA_002,question_answering,4,4,1,1,1,T2
CASE_0136,QA_003,question_answering,4,3,1,1,1,T2
CASE_0137,QA_003,question_answering,4,4,1,1,1,T2
CASE_0139,QA_004,question_answering,1,0,1,1,1,T2
CASE_0140,QA_004,question_answering,1,1,1,1,1,T2
CASE_0141,QA_004,question_answering,1,2,1,1,1,T2
CASE_0142,QA_004,question_answering,1,3,0,1,1,T2
CASE_0143,QA_004,question_answering,1,4,1,1,1,T2
CASE_0144,QA_004,question_answering,1,5,1,1,1,T2
CASE_0148,QA_005,question_answering,4,3,0,1,1,T2
CASE_0149,QA_005,question_answering,4,4,1,1,1,T2
CASE_0151,QA_006,question_answering,0,0,1,1,1,T2
CASE_0154,QA_006,question_answering,0,3,1,1,1,T2
CASE_0155,QA_006,question_answering,0,4,1,1,1,T2
CASE_0156,QA_006,question_answering,0,5,1,1,1,T2
CASE_0160,QA_007,question_answering,2,3,0,0,1,T2
CASE_0161,QA_007,question_answering,2,4,1,1,1,T2
CASE_0166,QA_008,question_answering,2,3,1,1,1,T2
CASE_0167,QA_008,question_answering,2,4,1,1,1,T2
CASE_0170,QA_009,question_answering,3,1,1,1,1,T2
CASE_0172,QA_009,question_answering,3,3,0,0,1,T2
CASE_0173,QA_009,question_answering,3,4,1,1,1,T2
CASE_0178,QA_010,question_answering,3,3,1,1,1,T2
CASE_0179,QA_010,question_answering,3,4,1,1,1,T2
CASE_0183,QA_011,question_answering,2,2,0,1,1,T2
CASE_0184,QA_011,question_answering,2,3,0,1,1,T2
CASE_0185,QA_011,question_answering,2,4,1,1,1,T2
CASE_0190,QA_012,question_answering,2,3,0,1,1,T2
CASE_0191,QA_012,question_answering,2,4,1,1,1,T2
CASE_0192,QA_012,question_answering,2,5,1,1,1,T2
CASE_0195,QA_013,question_answering,0,2,1,1,1,T2
CASE_0196,QA_013,question_answering,0,3,1,0,1,T2
CASE_0197,QA_013,question_answering,0,4,1,1,1,T2
CASE_0198,QA_013,question_answering,0,5,1,1,1,T2
CASE_0201,QA_014,question_answering,4,2,1,1,1,T2
CASE_0202,QA_014,question_answering,4,3,1,0,1,T2
CASE_0206,QA_015,question_answering,3,1,0,1,1,T2
CASE_0208,QA_015,question_answering,3,3,0,1,1,T2
CASE_0214,QA_016,question_answering,0,3,0,1,1,T2
CASE_0215,QA_016,question_answering,0,4,1,1,1,T2
CASE_0216,QA_016,question_answering,0,5,1,1,1,T2
CASE_0220,QA_017,question_answering,1,3,0,1,1,T2
CASE_0224,QA_018,question_answering,1,1,1,1,1,T2
CASE_0225,QA_018,question_answering,1,2,1,1,1,T2
CASE_0226,QA_018,question_answering,1,3,0,0,1,T2
CASE_0227,QA_018,question_answering,1,4,0,1,1,T2
CASE_0229,QA_019,question_answering,0,0,1,1,1,T2
CASE_0230,QA_019,question_answering,0,1,0,1,1,T2
CASE_0231,QA_019,question_answering,0,2,0,1,1,T2
CASE_0232,QA_019,question_answering,0,3,0,1,1,T2
CASE_0233,QA_019,question_answering,0,4,1,1,1,T2
CASE_0234,QA_019,question_answering,0,5,1,1,1,T2
CASE_0237,QA_020,question_answering,1,2,0,1,1,T2
CASE_0238,QA_020,question_answering,1,3,0,0,1,T2
CASE_0239,QA_020,question_answering,1,4,1,1,1,T2
CASE_0240,QA_020,question_answering,1,5,1,1,1,T2
CASE_0242,EXP_001,explanation,0,1,0,0,0,T2
CASE_0243,EXP_001,explanation,0,2,1,1,1,T2
CASE_0244,EXP_001,explanation,0,3,0,1,0,T2
CASE_0245,EXP_001,explanation,0,4,0,0,0,T2
CASE_0246,EXP_001,explanation,0,5,0,1,1,T2
CASE_0248,EXP_002,explanation,2,1,0,0,0,T2
