Case_ID,Prompt_ID,Task_Type,condition,token_count_reconstructed,chars,whitespace_words,source_available
CASE_0167,QA_008,question_answering,A,53,255,41,True
CASE_0167,QA_008,question_answering,B,93,431,69,True
CASE_0167,QA_008,question_answering,C,133,625,98,True
CASE_0168,QA_008,question_answering,A,10,42,7,True
CASE_0168,QA_008,question_answering,B,50,218,35,True
CASE_0168,QA_008,question_answering,C,90,412,64,True
CASE_0169,QA_009,question_answering,A,19,96,15,True
CASE_0169,QA_009,question_answering,B,62,297,46,True
CASE_0169,QA_009,question_answering,C,96,473,70,True
CASE_0170,QA_009,question_answering,A,3,5,1,True
CASE_0170,QA_009,question_answering,B,46,206,32,True
CASE_0170,QA_009,question_answering,C,80,382,56,True
CASE_0171,QA_009,question_answering,A,19,93,14,True
CASE_0171,QA_009,question_answering,B,62,294,45,True
CASE_0171,QA_009,question_answering,C,96,470,69,True
CASE_0172,QA_009,question_answering,A,301,1524,230,True
CASE_0172,QA_009,question_answering,B,344,1725,261,True
CASE_0172,QA_009,question_answering,C,378,1901,285,True
CASE_0173,QA_009,question_answering,A,32,152,25,True
CASE_0173,QA_009,question_answering,B,75,353,56,True
CASE_0173,QA_009,question_answering,C,109,529,80,True
CASE_0174,QA_009,question_answering,A,35,182,28,True
CASE_0174,QA_009,question_answering,B,78,383,59,True
CASE_0174,QA_009,question_answering,C,112,559,83,True
CASE_0175,QA_010,question_answering,A,14,66,11,True
CASE_0175,QA_010,question_answering,B,54,238,39,True
CASE_0175,QA_010,question_answering,C,91,411,65,True
CASE_0176,QA_010,question_answering,A,7,27,5,True
CASE_0176,QA_010,question_answering,B,47,199,33,True
CASE_0176,QA_010,question_answering,C,84,372,59,True
CASE_0177,QA_010,question_answering,A,16,79,13,True
CASE_0177,QA_010,question_answering,B,56,251,41,True
CASE_0177,QA_010,question_answering,C,93,424,67,True
CASE_0178,QA_010,question_answering,A,301,1027,185,True
CASE_0178,QA_010,question_answering,B,341,1199,213,True
CASE_0178,QA_010,question_answering,C,378,1372,239,True
CASE_0179,QA_010,question_answering,A,31,142,25,True
CASE_0179,QA_010,question_answering,B,71,314,53,True
CASE_0179,QA_010,question_answering,C,108,487,79,True
CASE_0180,QA_010,question_answering,A,22,106,17,True
CASE_0180,QA_010,question_answering,B,62,278,45,True
CASE_0180,QA_010,question_answering,C,99,451,71,True
CASE_0181,QA_011,question_answering,A,20,102,16,True
CASE_0181,QA_011,question_answering,B,64,300,47,True
CASE_0181,QA_011,question_answering,C,103,482,74,True
CASE_0182,QA_011,question_answering,A,20,99,16,True
CASE_0182,QA_011,question_answering,B,64,297,47,True
CASE_0182,QA_011,question_answering,C,103,479,74,True
CASE_0183,QA_011,question_answering,A,13,52,9,True
CASE_0183,QA_011,question_answering,B,57,250,40,True
CASE_0183,QA_011,question_answering,C,96,432,67,True
CASE_0184,QA_011,question_answering,A,301,1397,223,True
CASE_0184,QA_011,question_answering,B,345,1595,254,True
CASE_0184,QA_011,question_answering,C,384,1777,281,True
CASE_0185,QA_011,question_answering,A,30,134,22,True
CASE_0185,QA_011,question_answering,B,74,332,53,True
CASE_0185,QA_011,question_answering,C,113,514,80,True
CASE_0186,QA_011,question_answering,A,57,289,46,True
CASE_0186,QA_011,question_answering,B,101,487,77,True
CASE_0186,QA_011,question_answering,C,140,669,104,True
CASE_0187,QA_012,question_answering,A,18,81,15,True
CASE_0187,QA_012,question_answering,B,64,286,49,True
CASE_0187,QA_012,question_answering,C,99,450,74,True
CASE_0188,QA_012,question_answering,A,4,7,1,True
CASE_0188,QA_012,question_answering,B,50,212,35,True
CASE_0188,QA_012,question_answering,C,85,376,60,True
CASE_0189,QA_012,question_answering,A,35,169,28,True
CASE_0189,QA_012,question_answering,B,81,374,62,True
CASE_0189,QA_012,question_answering,C,116,538,87,True
CASE_0190,QA_012,question_answering,A,301,1380,229,True
CASE_0190,QA_012,question_answering,B,347,1585,263,True
CASE_0190,QA_012,question_answering,C,382,1749,288,True
CASE_0191,QA_012,question_answering,A,31,162,27,True
CASE_0191,QA_012,question_answering,B,77,367,61,True
CASE_0191,QA_012,question_answering,C,112,531,86,True
CASE_0192,QA_012,question_answering,A,53,268,46,True
CASE_0192,QA_012,question_answering,B,99,473,80,True
CASE_0192,QA_012,question_answering,C,134,637,105,True
CASE_0193,QA_013,question_answering,A,18,87,14,True
CASE_0193,QA_013,question_answering,B,60,274,43,True
CASE_0193,QA_013,question_answering,C,101,478,73,True
CASE_0194,QA_013,question_answering,A,4,7,1,True
CASE_0194,QA_013,question_answering,B,46,194,30,True
CASE_0194,QA_013,question_answering,C,87,398,60,True
CASE_0195,QA_013,question_answering,A,4,10,2,True
CASE_0195,QA_013,question_answering,B,46,197,31,True
CASE_0195,QA_013,question_answering,C,87,401,61,True
CASE_0196,QA_013,question_answering,A,301,1151,232,True
CASE_0196,QA_013,question_answering,B,343,1338,261,True
CASE_0196,QA_013,question_answering,C,384,1542,291,True
CASE_0197,QA_013,question_answering,A,36,172,29,True
CASE_0197,QA_013,question_answering,B,78,359,58,True
CASE_0197,QA_013,question_answering,C,119,563,88,True
CASE_0198,QA_013,question_answering,A,55,287,44,True
CASE_0198,QA_013,question_answering,B,97,474,73,True
CASE_0198,QA_013,question_answering,C,138,678,103,True
CASE_0199,QA_014,question_answering,A,11,50,7,True
CASE_0199,QA_014,question_answering,B,52,250,36,True
CASE_0199,QA_014,question_answering,C,89,446,63,True
CASE_0200,QA_014,question_answering,A,5,14,3,True
CASE_0200,QA_014,question_answering,B,46,214,32,True
CASE_0200,QA_014,question_answering,C,83,410,59,True
CASE_0201,QA_014,question_answering,A,32,178,27,True
CASE_0201,QA_014,question_answering,B,73,378,56,True
CASE_0201,QA_014,question_answering,C,110,574,83,True
CASE_0202,QA_014,question_answering,A,301,1476,265,True
CASE_0202,QA_014,question_answering,B,342,1676,294,True
CASE_0202,QA_014,question_answering,C,379,1872,321,True
CASE_0203,QA_014,question_answering,A,30,167,25,True
CASE_0203,QA_014,question_answering,B,71,367,54,True
CASE_0203,QA_014,question_answering,C,108,563,81,True
CASE_0204,QA_014,question_answering,A,13,76,10,True
CASE_0204,QA_014,question_answering,B,54,276,39,True
CASE_0204,QA_014,question_answering,C,91,472,66,True
CASE_0205,QA_015,question_answering,A,20,104,16,True
CASE_0205,QA_015,question_answering,B,60,280,44,True
CASE_0205,QA_015,question_answering,C,101,505,74,True
CASE_0206,QA_015,question_answering,A,4,8,1,True
CASE_0206,QA_015,question_answering,B,44,184,29,True
CASE_0206,QA_015,question_answering,C,85,409,59,True
CASE_0207,QA_015,question_answering,A,25,135,20,True
CASE_0207,QA_015,question_answering,B,65,311,48,True
CASE_0207,QA_015,question_answering,C,106,536,78,True
CASE_0208,QA_015,question_answering,A,301,1444,220,True
CASE_0208,QA_015,question_answering,B,341,1620,248,True
CASE_0208,QA_015,question_answering,C,382,1845,278,True
CASE_0209,QA_015,question_answering,A,31,172,25,True
CASE_0209,QA_015,question_answering,B,71,348,53,True
CASE_0209,QA_015,question_answering,C,112,573,83,True
CASE_0210,QA_015,question_answering,A,25,138,21,True
CASE_0210,QA_015,question_answering,B,65,314,49,True
CASE_0210,QA_015,question_answering,C,106,539,79,True
CASE_0211,QA_016,question_answering,A,13,49,10,True
CASE_0211,QA_016,question_answering,B,52,215,37,True
CASE_0211,QA_016,question_answering,C,96,373,64,True
CASE_0212,QA_016,question_answering,A,5,10,2,True
CASE_0212,QA_016,question_answering,B,44,176,29,True
CASE_0212,QA_016,question_answering,C,88,334,56,True
CASE_0213,QA_016,question_answering,A,14,60,11,True
CASE_0213,QA_016,question_answering,B,53,226,38,True
CASE_0213,QA_016,question_answering,C,97,384,65,True
CASE_0214,QA_016,question_answering,A,301,1176,207,True
CASE_0214,QA_016,question_answering,B,340,1342,234,True
CASE_0214,QA_016,question_answering,C,384,1500,261,True
CASE_0215,QA_016,question_answering,A,38,129,25,True
CASE_0215,QA_016,question_answering,B,77,295,52,True
CASE_0215,QA_016,question_answering,C,121,453,79,True
CASE_0216,QA_016,question_answering,A,23,99,17,True
CASE_0216,QA_016,question_answering,B,62,265,44,True
CASE_0216,QA_016,question_answering,C,106,423,71,True
CASE_0217,QA_017,question_answering,A,15,68,12,True
CASE_0217,QA_017,question_answering,B,56,240,41,True
CASE_0217,QA_017,question_answering,C,88,391,64,True
CASE_0218,QA_017,question_answering,A,4,12,2,True
CASE_0218,QA_017,question_answering,B,45,184,31,True
CASE_0218,QA_017,question_answering,C,77,335,54,True
CASE_0219,QA_017,question_answering,A,15,68,12,True
CASE_0219,QA_017,question_answering,B,56,240,41,True
CASE_0219,QA_017,question_answering,C,88,391,64,True
CASE_0220,QA_017,question_answering,A,301,1358,228,True
CASE_0220,QA_017,question_answering,B,342,1530,257,True
CASE_0220,QA_017,question_answering,C,374,1681,280,True
CASE_0221,QA_017,question_answering,A,27,128,22,True
CASE_0221,QA_017,question_answering,B,68,300,51,True
CASE_0221,QA_017,question_answering,C,100,451,74,True
CASE_0222,QA_017,question_answering,A,24,113,19,True
CASE_0222,QA_017,question_answering,B,65,285,48,True
CASE_0222,QA_017,question_answering,C,97,436,71,True
CASE_0223,QA_018,question_answering,A,12,58,9,True
CASE_0223,QA_018,question_answering,B,51,226,36,True
CASE_0223,QA_018,question_answering,C,87,404,63,True
CASE_0224,QA_018,question_answering,A,7,35,5,True
CASE_0224,QA_018,question_answering,B,46,203,32,True
CASE_0224,QA_018,question_answering,C,82,381,59,True
CASE_0225,QA_018,question_answering,A,11,58,8,True
CASE_0225,QA_018,question_answering,B,50,226,35,True
CASE_0225,QA_018,question_answering,C,86,404,62,True
CASE_0226,QA_018,question_answering,A,301,1349,210,True
CASE_0226,QA_018,question_answering,B,340,1517,237,True
CASE_0226,QA_018,question_answering,C,376,1695,264,True
CASE_0227,QA_018,question_answering,A,29,149,25,True
CASE_0227,QA_018,question_answering,B,68,317,52,True
CASE_0227,QA_018,question_answering,C,104,495,79,True
CASE_0228,QA_018,question_answering,A,13,65,10,True
CASE_0228,QA_018,question_answering,B,52,233,37,True
CASE_0228,QA_018,question_answering,C,88,411,64,True
CASE_0229,QA_019,question_answering,A,20,105,16,True
CASE_0229,QA_019,question_answering,B,64,298,47,True
CASE_0229,QA_019,question_answering,C,97,469,70,True
CASE_0230,QA_019,question_answering,A,4,8,1,True
CASE_0230,QA_019,question_answering,B,48,201,32,True
CASE_0230,QA_019,question_answering,C,81,372,55,True
CASE_0231,QA_019,question_answering,A,4,8,1,True
CASE_0231,QA_019,question_answering,B,48,201,32,True
CASE_0231,QA_019,question_answering,C,81,372,55,True
CASE_0232,QA_019,question_answering,A,301,1253,215,True
CASE_0232,QA_019,question_answering,B,345,1446,246,True
CASE_0232,QA_019,question_answering,C,378,1617,269,True
CASE_0233,QA_019,question_answering,A,45,242,37,True
CASE_0233,QA_019,question_answering,B,89,435,68,True
CASE_0233,QA_019,question_answering,C,122,606,91,True
CASE_0234,QA_019,question_answering,A,53,282,42,True
CASE_0234,QA_019,question_answering,B,97,475,73,True
CASE_0234,QA_019,question_answering,C,130,646,96,True
CASE_0235,QA_020,question_answering,A,14,66,11,True
CASE_0235,QA_020,question_answering,B,58,267,43,True
CASE_0235,QA_020,question_answering,C,91,435,66,True
CASE_0236,QA_020,question_answering,A,3,5,1,True
CASE_0236,QA_020,question_answering,B,47,206,33,True
CASE_0236,QA_020,question_answering,C,80,374,56,True
CASE_0237,QA_020,question_answering,A,15,73,11,True
CASE_0237,QA_020,question_answering,B,59,274,43,True
CASE_0237,QA_020,question_answering,C,92,442,66,True
CASE_0238,QA_020,question_answering,A,301,1547,220,True
CASE_0238,QA_020,question_answering,B,345,1748,252,True
CASE_0238,QA_020,question_answering,C,378,1916,275,True
CASE_0239,QA_020,question_answering,A,40,200,33,True
CASE_0239,QA_020,question_answering,B,84,401,65,True
CASE_0239,QA_020,question_answering,C,117,569,88,True
CASE_0240,QA_020,question_answering,A,26,123,20,True
CASE_0240,QA_020,question_answering,B,70,324,52,True
CASE_0240,QA_020,question_answering,C,103,492,75,True
CASE_0241,EXP_001,explanation,A,81,438,68,False
CASE_0241,EXP_001,explanation,B,122,636,98,False
CASE_0241,EXP_001,explanation,C,122,636,98,False
CASE_0242,EXP_001,explanation,A,17,67,14,False
CASE_0242,EXP_001,explanation,B,58,265,44,False
CASE_0242,EXP_001,explanation,C,58,265,44,False
CASE_0243,EXP_001,explanation,A,307,1583,244,False
CASE_0243,EXP_001,explanation,B,348,1781,274,False
CASE_0243,EXP_001,explanation,C,348,1781,274,False
CASE_0244,EXP_001,explanation,A,300,1377,226,False
CASE_0244,EXP_001,explanation,B,341,1575,256,False
CASE_0244,EXP_001,explanation,C,341,1575,256,False
CASE_0245,EXP_001,explanation,A,72,328,61,False
CASE_0245,EXP_001,explanation,B,113,526,91,False
CASE_0245,EXP_001,explanation,C,113,526,91,False
CASE_0246,EXP_001,explanation,A,260,1350,200,False
CASE_0246,EXP_001,explanation,B,301,1548,230,False
CASE_0246,EXP_001,explanation,C,301,1548,230,False
CASE_0247,EXP_002,explanation,A,131,721,100,False
CASE_0247,EXP_002,explanation,B,165,886,125,False
CASE_0247,EXP_002,explanation,C,165,886,125,False
CASE_0248,EXP_002,explanation,A,15,57,9,False
CASE_0248,EXP_002,explanation,B,49,222,34,False
CASE_0248,EXP_002,explanation,C,49,222,34,False
CASE_0249,EXP_002,explanation,A,314,1482,232,False
CASE_0249,EXP_002,explanation,B,348,1647,257,False
CASE_0249,EXP_002,explanation,C,348,1647,257,False
CASE_0250,EXP_002,explanation,A,300,1439,239,False
CASE_0250,EXP_002,explanation,B,334,1604,264,False
CASE_0250,EXP_002,explanation,C,334,1604,264,False
CASE_0251,EXP_002,explanation,A,44,225,38,False
CASE_0251,EXP_002,explanation,B,78,390,63,False
CASE_0251,EXP_002,explanation,C,78,390,63,False
CASE_0252,EXP_002,explanation,A,292,1388,210,False
CASE_0252,EXP_002,explanation,B,326,1553,235,False
CASE_0252,EXP_002,explanation,C,326,1553,235,False
CASE_0253,EXP_003,explanation,A,311,1605,238,False
CASE_0253,EXP_003,explanation,B,341,1735,260,False
CASE_0253,EXP_003,explanation,C,341,1735,260,False
CASE_0254,EXP_003,explanation,A,11,41,8,False
CASE_0254,EXP_003,explanation,B,41,171,30,False
CASE_0254,EXP_003,explanation,C,41,171,30,False
CASE_0255,EXP_003,explanation,A,320,1659,254,False
CASE_0255,EXP_003,explanation,B,350,1789,276,False
CASE_0255,EXP_003,explanation,C,350,1789,276,False
CASE_0256,EXP_003,explanation,A,300,1474,256,False
CASE_0256,EXP_003,explanation,B,330,1604,278,False
CASE_0256,EXP_003,explanation,C,330,1604,278,False
CASE_0257,EXP_003,explanation,A,90,456,82,False
CASE_0257,EXP_003,explanation,B,120,586,104,False
CASE_0257,EXP_003,explanation,C,120,586,104,False
CASE_0258,EXP_003,explanation,A,282,1479,212,False
CASE_0258,EXP_003,explanation,B,312,1609,234,False
CASE_0258,EXP_003,explanation,C,312,1609,234,False
CASE_0259,EXP_004,explanation,A,237,1107,161,False
CASE_0259,EXP_004,explanation,B,269,1243,183,False
CASE_0259,EXP_004,explanation,C,269,1243,183,False
CASE_0260,EXP_004,explanation,A,18,70,13,False
CASE_0260,EXP_004,explanation,B,50,206,35,False
CASE_0260,EXP_004,explanation,C,50,206,35,False
CASE_0261,EXP_004,explanation,A,318,1447,224,False
CASE_0261,EXP_004,explanation,B,350,1583,246,False
CASE_0261,EXP_004,explanation,C,350,1583,246,False
CASE_0262,EXP_004,explanation,A,299,1285,247,False
CASE_0262,EXP_004,explanation,B,331,1421,269,False
CASE_0262,EXP_004,explanation,C,331,1421,269,False
CASE_0263,EXP_004,explanation,A,40,162,31,False
CASE_0263,EXP_004,explanation,B,72,298,53,False
CASE_0263,EXP_004,explanation,C,72,298,53,False
CASE_0264,EXP_004,explanation,A,281,1432,205,False
CASE_0264,EXP_004,explanation,B,313,1568,227,False
CASE_0264,EXP_004,explanation,C,313,1568,227,False
CASE_0265,EXP_005,explanation,A,312,1394,198,False
CASE_0265,EXP_005,explanation,B,343,1550,221,False
CASE_0265,EXP_005,explanation,C,343,1550,221,False
CASE_0266,EXP_005,explanation,A,22,126,19,False
CASE_0266,EXP_005,explanation,B,53,282,42,False
CASE_0266,EXP_005,explanation,C,53,282,42,False
CASE_0267,EXP_005,explanation,A,310,1619,261,False
CASE_0267,EXP_005,explanation,B,341,1775,284,False
CASE_0267,EXP_005,explanation,C,341,1775,284,False
CASE_0268,EXP_005,explanation,A,300,1575,258,False
CASE_0268,EXP_005,explanation,B,331,1731,281,False
CASE_0268,EXP_005,explanation,C,331,1731,281,False
CASE_0269,EXP_005,explanation,A,32,166,29,False
CASE_0269,EXP_005,explanation,B,63,322,52,False
CASE_0269,EXP_005,explanation,C,63,322,52,False
CASE_0270,EXP_005,explanation,A,289,1497,213,False
CASE_0270,EXP_005,explanation,B,320,1653,236,False
CASE_0270,EXP_005,explanation,C,320,1653,236,False
CASE_0271,EXP_006,explanation,A,321,1461,237,False
CASE_0271,EXP_006,explanation,B,351,1574,257,False
CASE_0271,EXP_006,explanation,C,351,1574,257,False
CASE_0272,EXP_006,explanation,A,13,53,9,False
CASE_0272,EXP_006,explanation,B,43,166,29,False
CASE_0272,EXP_006,explanation,C,43,166,29,False
CASE_0273,EXP_006,explanation,A,321,1506,251,False
CASE_0273,EXP_006,explanation,B,351,1619,271,False
CASE_0273,EXP_006,explanation,C,351,1619,271,False
CASE_0274,EXP_006,explanation,A,300,1170,205,False
CASE_0274,EXP_006,explanation,B,330,1283,225,False
CASE_0274,EXP_006,explanation,C,330,1283,225,False
CASE_0275,EXP_006,explanation,A,31,133,25,False
CASE_0275,EXP_006,explanation,B,61,246,45,False
CASE_0275,EXP_006,explanation,C,61,246,45,False
CASE_0276,EXP_006,explanation,A,285,1305,208,False
CASE_0276,EXP_006,explanation,B,315,1418,228,False
CASE_0276,EXP_006,explanation,C,315,1418,228,False
CASE_0277,EXP_007,explanation,A,325,1531,210,False
CASE_0277,EXP_007,explanation,B,349,1641,225,False
CASE_0277,EXP_007,explanation,C,349,1641,225,False
CASE_0278,EXP_007,explanation,A,16,74,12,False
CASE_0278,EXP_007,explanation,B,40,184,27,False
CASE_0278,EXP_007,explanation,C,40,184,27,False
CASE_0279,EXP_007,explanation,A,338,1723,239,False
CASE_0279,EXP_007,explanation,B,362,1833,254,False
CASE_0279,EXP_007,explanation,C,362,1833,254,False
CASE_0280,EXP_007,explanation,A,300,1169,225,False
CASE_0280,EXP_007,explanation,B,324,1279,240,False
CASE_0280,EXP_007,explanation,C,324,1279,240,False
CASE_0281,EXP_007,explanation,A,91,483,77,False
CASE_0281,EXP_007,explanation,B,115,593,92,False
CASE_0281,EXP_007,explanation,C,115,593,92,False
CASE_0282,EXP_007,explanation,A,270,1370,185,False
CASE_0282,EXP_007,explanation,B,294,1480,200,False
CASE_0282,EXP_007,explanation,C,294,1480,200,False
CASE_0283,EXP_008,explanation,A,275,1383,198,False
CASE_0283,EXP_008,explanation,B,302,1507,217,False
CASE_0283,EXP_008,explanation,C,302,1507,217,False
CASE_0284,EXP_008,explanation,A,18,74,15,False
CASE_0284,EXP_008,explanation,B,45,198,34,False
CASE_0284,EXP_008,explanation,C,45,198,34,False
CASE_0285,EXP_008,explanation,A,310,1580,242,False
CASE_0285,EXP_008,explanation,B,337,1704,261,False
CASE_0285,EXP_008,explanation,C,337,1704,261,False
CASE_0286,EXP_008,explanation,A,300,1316,250,False
CASE_0286,EXP_008,explanation,B,327,1440,269,False
CASE_0286,EXP_008,explanation,C,327,1440,269,False
CASE_0287,EXP_008,explanation,A,106,528,94,False
CASE_0287,EXP_008,explanation,B,133,652,113,False
CASE_0287,EXP_008,explanation,C,133,652,113,False
CASE_0288,EXP_008,explanation,A,280,1458,203,False
CASE_0288,EXP_008,explanation,B,307,1582,222,False
CASE_0288,EXP_008,explanation,C,307,1582,222,False
CASE_0289,EXP_009,explanation,A,291,1637,225,False
CASE_0289,EXP_009,explanation,B,314,1751,240,False
CASE_0289,EXP_009,explanation,C,314,1751,240,False
CASE_0290,EXP_009,explanation,A,14,86,11,False
CASE_0290,EXP_009,explanation,B,37,200,26,False
CASE_0290,EXP_009,explanation,C,37,200,26,False
CASE_0291,EXP_009,explanation,A,320,1805,254,False
CASE_0291,EXP_009,explanation,B,343,1919,269,False
CASE_0291,EXP_009,explanation,C,343,1919,269,False
CASE_0292,EXP_009,explanation,A,299,1616,191,False
CASE_0292,EXP_009,explanation,B,322,1730,206,False
CASE_0292,EXP_009,explanation,C,322,1730,206,False
CASE_0293,EXP_009,explanation,A,52,303,48,False
CASE_0293,EXP_009,explanation,B,75,417,63,False
CASE_0293,EXP_009,explanation,C,75,417,63,False
CASE_0294,EXP_009,explanation,A,285,1624,229,False
CASE_0294,EXP_009,explanation,B,308,1738,244,False
CASE_0294,EXP_009,explanation,C,308,1738,244,False
CASE_0295,EXP_010,explanation,A,318,1541,235,False
CASE_0295,EXP_010,explanation,B,344,1652,253,False
CASE_0295,EXP_010,explanation,C,344,1652,253,False
CASE_0296,EXP_010,explanation,A,16,74,13,False
CASE_0296,EXP_010,explanation,B,42,185,31,False
CASE_0296,EXP_010,explanation,C,42,185,31,False
CASE_0297,EXP_010,explanation,A,313,1603,243,False
CASE_0297,EXP_010,explanation,B,339,1714,261,False
CASE_0297,EXP_010,explanation,C,339,1714,261,False
CASE_0298,EXP_010,explanation,A,298,1397,228,False
CASE_0298,EXP_010,explanation,B,324,1508,246,False
CASE_0298,EXP_010,explanation,C,324,1508,246,False
CASE_0299,EXP_010,explanation,A,104,504,89,False
CASE_0299,EXP_010,explanation,B,130,615,107,False
CASE_0299,EXP_010,explanation,C,130,615,107,False
CASE_0300,EXP_010,explanation,A,290,1485,212,False
CASE_0300,EXP_010,explanation,B,316,1596,230,False
CASE_0300,EXP_010,explanation,C,316,1596,230,False
CASE_0301,EXP_011,explanation,A,321,1428,200,False
CASE_0301,EXP_011,explanation,B,348,1542,215,False
CASE_0301,EXP_011,explanation,C,348,1542,215,False
CASE_0302,EXP_011,explanation,A,19,92,16,False
CASE_0302,EXP_011,explanation,B,46,206,31,False
CASE_0302,EXP_011,explanation,C,46,206,31,False
CASE_0303,EXP_011,explanation,A,328,1704,244,False
CASE_0303,EXP_011,explanation,B,355,1818,259,False
CASE_0303,EXP_011,explanation,C,355,1818,259,False
CASE_0304,EXP_011,explanation,A,300,1256,256,False
CASE_0304,EXP_011,explanation,B,327,1370,271,False
CASE_0304,EXP_011,explanation,C,327,1370,271,False
CASE_0305,EXP_011,explanation,A,68,337,52,False
CASE_0305,EXP_011,explanation,B,95,451,67,False
CASE_0305,EXP_011,explanation,C,95,451,67,False
CASE_0306,EXP_011,explanation,A,285,1556,210,False
CASE_0306,EXP_011,explanation,B,312,1670,225,False
CASE_0306,EXP_011,explanation,C,312,1670,225,False
CASE_0307,EXP_012,explanation,A,308,1409,231,False
CASE_0307,EXP_012,explanation,B,334,1513,247,False
CASE_0307,EXP_012,explanation,C,334,1513,247,False
CASE_0308,EXP_012,explanation,A,12,49,8,False
CASE_0308,EXP_012,explanation,B,38,153,24,False
CASE_0308,EXP_012,explanation,C,38,153,24,False
CASE_0309,EXP_012,explanation,A,317,1546,237,False
CASE_0309,EXP_012,explanation,B,343,1650,253,False
CASE_0309,EXP_012,explanation,C,343,1650,253,False
CASE_0310,EXP_012,explanation,A,300,1383,206,False
CASE_0310,EXP_012,explanation,B,326,1487,222,False
CASE_0310,EXP_012,explanation,C,326,1487,222,False
CASE_0311,EXP_012,explanation,A,36,173,31,False
CASE_0311,EXP_012,explanation,B,62,277,47,False
CASE_0311,EXP_012,explanation,C,62,277,47,False
CASE_0312,EXP_012,explanation,A,291,1394,212,False
CASE_0312,EXP_012,explanation,B,317,1498,228,False
CASE_0312,EXP_012,explanation,C,317,1498,228,False
CASE_0313,EXP_013,explanation,A,293,1469,217,False
CASE_0313,EXP_013,explanation,B,316,1572,232,False
CASE_0313,EXP_013,explanation,C,316,1572,232,False
CASE_0314,EXP_013,explanation,A,19,81,16,False
CASE_0314,EXP_013,explanation,B,42,184,31,False
CASE_0314,EXP_013,explanation,C,42,184,31,False
CASE_0315,EXP_013,explanation,A,328,1659,254,False
CASE_0315,EXP_013,explanation,B,351,1762,269,False
CASE_0315,EXP_013,explanation,C,351,1762,269,False
CASE_0316,EXP_013,explanation,A,300,1255,213,False
CASE_0316,EXP_013,explanation,B,323,1358,228,False
CASE_0316,EXP_013,explanation,C,323,1358,228,False
CASE_0317,EXP_013,explanation,A,57,323,51,False
CASE_0317,EXP_013,explanation,B,80,426,66,False
CASE_0317,EXP_013,explanation,C,80,426,66,False
CASE_0318,EXP_013,explanation,A,290,1520,207,False
CASE_0318,EXP_013,explanation,B,313,1623,222,False
CASE_0318,EXP_013,explanation,C,313,1623,222,False
CASE_0319,EXP_014,explanation,A,164,716,110,False
CASE_0319,EXP_014,explanation,B,192,828,129,False
CASE_0319,EXP_014,explanation,C,192,828,129,False
CASE_0320,EXP_014,explanation,A,16,72,12,False
CASE_0320,EXP_014,explanation,B,44,184,31,False
CASE_0320,EXP_014,explanation,C,44,184,31,False
CASE_0321,EXP_014,explanation,A,321,1658,247,False
CASE_0321,EXP_014,explanation,B,349,1770,266,False
CASE_0321,EXP_014,explanation,C,349,1770,266,False
CASE_0322,EXP_014,explanation,A,300,1284,226,False
CASE_0322,EXP_014,explanation,B,328,1396,245,False
CASE_0322,EXP_014,explanation,C,328,1396,245,False
CASE_0323,EXP_014,explanation,A,27,130,23,False
CASE_0323,EXP_014,explanation,B,55,242,42,False
CASE_0323,EXP_014,explanation,C,55,242,42,False
CASE_0324,EXP_014,explanation,A,289,1454,217,False
CASE_0324,EXP_014,explanation,B,317,1566,236,False
CASE_0324,EXP_014,explanation,C,317,1566,236,False
CASE_0325,EXP_015,explanation,A,123,648,95,False
CASE_0325,EXP_015,explanation,B,154,798,118,False
CASE_0325,EXP_015,explanation,C,154,798,118,False
CASE_0326,EXP_015,explanation,A,15,59,11,False
CASE_0326,EXP_015,explanation,B,46,209,34,False
CASE_0326,EXP_015,explanation,C,46,209,34,False
CASE_0327,EXP_015,explanation,A,322,1697,245,False
CASE_0327,EXP_015,explanation,B,353,1847,268,False
CASE_0327,EXP_015,explanation,C,353,1847,268,False
CASE_0328,EXP_015,explanation,A,301,1568,244,False
CASE_0328,EXP_015,explanation,B,332,1718,267,False
CASE_0328,EXP_015,explanation,C,332,1718,267,False
CASE_0329,EXP_015,explanation,A,58,320,52,False
CASE_0329,EXP_015,explanation,B,89,470,75,False
CASE_0329,EXP_015,explanation,C,89,470,75,False
CASE_0330,EXP_015,explanation,A,289,1505,202,False
CASE_0330,EXP_015,explanation,B,320,1655,225,False
CASE_0330,EXP_015,explanation,C,320,1655,225,False
CASE_0331,EXP_016,explanation,A,76,394,64,False
CASE_0331,EXP_016,explanation,B,108,523,85,False
CASE_0331,EXP_016,explanation,C,108,523,85,False
CASE_0332,EXP_016,explanation,A,11,33,8,False
CASE_0332,EXP_016,explanation,B,43,162,29,False
CASE_0332,EXP_016,explanation,C,43,162,29,False
CASE_0333,EXP_016,explanation,A,314,1583,253,False
CASE_0333,EXP_016,explanation,B,346,1712,274,False
CASE_0333,EXP_016,explanation,C,346,1712,274,False
